twitter.retweet.count,twitter.retweeted.user.name,twitter.retweeted.place.place_type,links.url,interaction.source,twitter.retweet.user.screen_name,twitter.user.description,interaction.geo.latitude,twitter.retweet.user.id_str,twitter.user.verified,klout.amplification,twitter.user.id,twitter.geo.latitude,interaction.geo.longitude,twitter.retweeted.place.country_code,twitter.retweeted.place.url,twitter.place.full_name,twitter.user.listed_count,twitter.retweet.domains,links.retweet_count,twitter.user.url,twitter.user.name,demographic.gender,twitter.place.name,salience.content.entities,twitter.retweet.user.geo_enabled,twitter.retweet.user.statuses_count,twitter.text,twitter.place.id,twitter.mentions,twitter.retweeted.place.name,twitter.user.id_str,twitter.retweet.user.lang,twitter.id,twitter.retweet.user.utc_offset,twitter.retweeted.user.listed_count,twitter.retweeted.user.utc_offset,twitter.source,klout.score,interaction.author.username,twitter.retweeted.user.id,twitter.geo.longitude,twitter.place.url,twitter.retweeted.user.followers_count,trends.type,links.created_at,twitter.retweet.user.created_at,twitter.retweeted.user.friends_count,interaction.created_at,salience.content.topics,twitter.place.country,twitter.retweet.text,twitter.links,twitter.user.statuses_count,twitter.domains,twitter.retweet.links,twitter.user.followers_count,interaction.author.link,trends.source,twitter.retweet.user.id,interaction.type,klout.true_reach,interaction.id,twitter.retweet.user.followers_count,links.title,twitter.retweet.created_at,trends.content,twitter.retweeted.created_at,twitter.user.time_zone,twitter.retweeted.place.country,twitter.place.place_type,twitter.retweeted.user.location,klout.network,twitter.user.friends_count,twitter.retweet.source,interaction.link,twitter.retweet.user.listed_count,twitter.retweet.id,twitter.retweet.user.location,twitter.retweet.user.description,twitter.retweeted.geo.latitude,twitter.retweeted.user.url,twitter.retweeted.geo.longitude,twitter.user.screen_name,interaction.author.id,twitter.retweet.user.url,twitter.user.location,twitter.in_reply_to_screen_name,twitter.retweet.user.friends_count,interaction.tags,twitter.retweeted.user.time_zone,twitter.retweeted.place.id,interaction.author.avatar,language.tag,twitter.user.created_at,twitter.retweeted.user.statuses_count,twitter.user.geo_enabled,twitter.retweet.mentions,twitter.retweeted.user.description,interaction.content,twitter.retweeted.user.screen_name,twitter.retweet.user.time_zone,language.confidence,twitter.user.lang,klout.topics,twitter.in_reply_to_status_id,twitter.in_reply_to_user_id,twitter.place.country_code,salience.content.sentiment,twitter.retweeted.user.geo_enabled,twitter.retweeted.source,twitter.retweeted.user.created_at,twitter.user.utc_offset,twitter.retweeted.user.lang,interaction.author.name,twitter.retweeted.user.verified,twitter.created_at,twitter.retweet.user.name,twitter.retweeted.place.full_name,twitter.retweeted.id,twitter.retweeted.user.id_str
"","","","","web","","Qui veut ma peau aura la sienne Suspendu a un PortManteau. #Teamflopy #TeamOm #TeamZalaka    CHO NA CHOOO !  ~ 4Etoile plus moi sa fait 5 t'inquiete #TeamRohff","","","",16,604686532,"","","","","","","","","","TuConnaiDéjà","","","","","","@Melissou2fois abn jai pas du calculer cs sur mn phone tsé","","[""Melissou2fois""]","","604686532","","220653261701652480","","","","web",42,"LinPau91","","","","","","","","","Wed, 04 Jul 2012 23:00:11 +0000","","","","",4126,"","",113,"http://twitter.com/LinPau91","","","twitter",500,"1e1c62c01ddcaf80e0747102fed2a714","","","","","","","","","",22.75,109,"","http://twitter.com/LinPau91/statuses/220653261701652480","","","","","","","","LinPau91",604686532,"","BrunoY Ho0d","Melissou2fois","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2326673616/nm7zfmv8t1as2hytjoj9_normal.jpeg","fr","Sun, 10 Jun 2012 17:23:46 +0000","","","","","@Melissou2fois abn jai pas du calculer cs sur mn phone tsé","","",100,"fr","[""new york jets""]","220652882284916736","569108429","",-9,"","","","","","TuConnaiDéjà","","Wed, 04 Jul 2012 23:00:11 +0000","","","",""
"","","","","UberSocial for BlackBerry","","The freak girl who adored 'Lelaki Malam' too much","","","",0,377939330,"","","","","","","","","","Matryoshka","","","","","","Kadang aku suka kepikiran yg aneh2 klo pas mantan cowokku si #abn (ke)tidur(an) di tempat lain. #curious","","","","377939330","","220706408457441280","","","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",10,"Mathryoska","","","","","","","","","Thu, 05 Jul 2012 02:31:22 +0000","","","","",1656,"","",4,"http://twitter.com/Mathryoska","","","twitter",0,"1e1c649825efa900e0741e0feba45542","","","","","","","","","",0.0,"","","http://twitter.com/Mathryoska/statuses/220706408457441280","","","","","","","","Mathryoska",377939330,"","Heart, mind, brain and head","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2180297597/339017919_normal.jpg","id","Thu, 22 Sep 2011 11:19:27 +0000","","","","","Kadang aku suka kepikiran yg aneh2 klo pas mantan cowokku si #abn (ke)tidur(an) di tempat lain. #curious","","",100,"en","","","","","","","","","","","Matryoshka","","Thu, 05 Jul 2012 02:31:22 +0000","","","",""
"","","","","Twitter for Android","","J'ai pas la moyenne Quoi ? J'm'en bat les couilles J'suis sur le block j'suis sur Youtube Fuck you pay me, a-salamalikoum J'vais t'qué-bra si j'touche le RMI","","","",5,293195549,"","","","","",2,"","","http://www.facebook.com/booba.shadmyx","★$hąDm¥X★ iiZii LiF£","","","","","","@LSimpsonne abn mm pas 1 an ?","","[""LSimpsonne""]","","293195549","","220713649550012417","","","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",45,"shadmyx","","","","","","","","","Thu, 05 Jul 2012 03:00:09 +0000","","","","",23263,"","",688,"http://twitter.com/shadmyx","","","twitter",1694,"1e1c64d87be4a280e07494c55a720354","","","","","","","","","",24.37,1212,"","http://twitter.com/shadmyx/statuses/220713649550012417","","","","","","","","shadmyx",293195549,"","LonDon & guadeloupe","LSimpsonne","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2368587547/552X3Csx_normal","ga","Wed, 04 May 2011 22:48:31 +0000","",true,"","","@LSimpsonne abn mm pas 1 an ?","","",62,"fr","[""facebook"",""soundcloud"",""new york jets""]","220712756008071168","373103579","","","","","","","","★$hąDm¥X★ iiZii LiF£","","Thu, 05 Jul 2012 03:00:09 +0000","","","",""
"","","","","Twitter for BlackBerry®","","Quand on nait avec certaine qualiter.     Devenir le meilleure n'est qu'une question de temp ... Le football ... ","","","",11,422183082,"","","","","","","","","","Aquiayi Yi","unisex","","","","","@ImenGrominette mdr abn ? Bah jai pas vu ! Toi tu tcroit superieur a tout le monde !! Mdr bref renvoi","","[""ImenGrominette""]","","422183082","","220791064645210112","","","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",41,"JasonAquiayi","","","","","","","","","Thu, 05 Jul 2012 08:07:46 +0000","","","","",3745,"","",87,"http://twitter.com/JasonAquiayi","","","twitter",554,"1e1c67880f8fa500e074ff1169b7eefe","","","","","","","","","",19.98,86,"","http://twitter.com/JasonAquiayi/statuses/220791064645210112","","","","","","","","JasonAquiayi",422183082,"","London  ","ImenGrominette","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2366369669/391928_1684919260039_1749380072_846254_1729489131_n_normal.jpg","fr","Sat, 26 Nov 2011 22:53:33 +0000","","","","","@ImenGrominette mdr abn ? Bah jai pas vu ! Toi tu tcroit superieur a tout le monde !! Mdr bref renvoi","","",100,"fr","[""#thuglife""]","220790772247707648","546048106","",-9,"","","","","","Aquiayi Yi","","Thu, 05 Jul 2012 08:07:46 +0000","","","",""
"","","","","UberSocial for BlackBerry","","The freak girl who adored 'Lelaki Malam' too much","","","",0,377939330,"","","","","","","","","","Matryoshka","","","","","","Kirain after married #abn bakal rutin tlp gw pad jam maksi or pas gw di kantor. Ternyata sama aja pas msh pacaran. Cm chat sekucupnya #beuh","","","","377939330","","220841125454422017","","","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",10,"Mathryoska","","","","","","","","","Thu, 05 Jul 2012 11:26:41 +0000","","","","",1671,"","",5,"http://twitter.com/Mathryoska","","","twitter",0,"1e1c6944ac96ae80e074a7a3fc680158","","","","","","","","","",0.0,"","","http://twitter.com/Mathryoska/statuses/220841125454422017","","","","","","","","Mathryoska",377939330,"","Heart, mind, brain and head","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2180297597/339017919_normal.jpg","id","Thu, 22 Sep 2011 11:19:27 +0000","","","","","Kirain after married #abn bakal rutin tlp gw pad jam maksi or pas gw di kantor. Ternyata sama aja pas msh pacaran. Cm chat sekucupnya #beuh","","",73,"en","","","","","","","","","","","Matryoshka","","Thu, 05 Jul 2012 11:26:41 +0000","","","",""
"","","","","web","","Voetbal Wakeboarden","","","",8,621041065,"","","","","","","","","","Thijn_Hermans","","","","","","kut ABN amro kon geen 5 euro pinnen daardoor een hamburger kerel helemaal vlippen maar ik heb m,ijn hamburger!","","","","621041065","","220844305365991424","","","","web",32,"Thijn_Hermans12","","","","","","","","","Thu, 05 Jul 2012 11:39:20 +0000","","","","",412,"","",32,"http://twitter.com/Thijn_Hermans12","","","twitter",48,"1e1c6960f2faa400e07491ec0b08c288","","","","","","","","","",12.82,50,"","http://twitter.com/Thijn_Hermans12/statuses/220844305365991424","","","","","","","","Thijn_Hermans12",621041065,"","","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2349241024/animaatjes-graffiti-73649_normal.jpg","nl","Thu, 28 Jun 2012 14:36:40 +0000","","","","","kut ABN amro kon geen 5 euro pinnen daardoor een hamburger kerel helemaal vlippen maar ik heb m,ijn hamburger!","","",95,"nl","","","","","","","","","","","Thijn_Hermans","","Thu, 05 Jul 2012 11:39:20 +0000","","","",""
"","","","","web","","Immigration law specialist, fervent reader, history lover and fan of a good meal /walk on beach (with friends). Tweets mostly in English but  can be in Dutch. ","","","",5,106083573,"","","","","",6,"","","http://vreemdelingenrechtcom.blogspot.com","wytzia raspe","","","","","","PAS OP: boeven trachten #ABN-AMRO klanten gegevens te ontfutselen via emails!!!!!!!!!!!!! pls RT #internetfraude","","","","106083573","","220873435230908416","","","","web",33,"wytzia","","","","","","","","","Thu, 05 Jul 2012 13:35:05 +0000","","","","",3718,"","",171,"http://twitter.com/wytzia","","","twitter",169,"1e1c6a63aba8aa80e074b7ef4a7604aa","","","","","","","","","",10.2,327,"","http://twitter.com/wytzia/statuses/220873435230908416","","","","","","","","wytzia",106083573,"","Netherlands","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2354908227/4xw2flpx48nk94wh07cm_normal.jpeg","nl","Mon, 18 Jan 2010 12:59:03 +0000","","","","","PAS OP: boeven trachten #ABN-AMRO klanten gegevens te ontfutselen via emails!!!!!!!!!!!!! pls RT #internetfraude","","",100,"en","[""immigration"",""#law"",""money"",""iraq"",""churchill""]","","","","","","","","","","wytzia raspe","","Thu, 05 Jul 2012 13:35:05 +0000","","","",""
"","","","","Twitter for BlackBerry®","","Mukusé ya talo ... #TeamKoffiOlomidee #TeamWenge #teamBbm: 29414E60 j'avance avc mon dieu",48.76556,"","",15,444088692,48.76556,2.68382,"","","Ozoir-la-Ferrière, Seine-et-Marne","","","","","☇☀bishop Debo►","","Ozoir-la-Ferrière","","","","@BrookShuami abn? T pas bavarde yo? Moi jsui timide alr","85e85c43b7c119e9","[""BrookShuami""]","","444088692","","220901204392296448","","","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",42,"DebsKanza","",2.68382,"http://api.twitter.com/1/geo/id/85e85c43b7c119e9.json","","","","","","Thu, 05 Jul 2012 15:25:25 +0000","","France","","",12622,"","",123,"http://twitter.com/DebsKanza","","","twitter",546,"1e1c6b5a48e6a080e074874d8c5cee88","","","","","","Amsterdam","","city","",21.21,98,"","http://twitter.com/DebsKanza/statuses/220901204392296448","","","","","","","","DebsKanza",444088692,"","","BrookShuami","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2363213956/304516_288753271138460_100000113677927_1316636_1394511755_n_normal.jpg","et","Thu, 22 Dec 2011 21:48:17 +0000","",true,"","","@BrookShuami abn? T pas bavarde yo? Moi jsui timide alr","","",62,"fr","[""pittsburgh penguins"",""music"",""dieting""]","220899329517420544","478997860","FR","","","","",3600,"","☇☀bishop Debo►","","Thu, 05 Jul 2012 15:25:25 +0000","","","",""
"","","","","web","","There is this writer who says the most important is to know what you want,be determined to stand by that desire until it is realised. #sucessismypriority...","","","",5,440373283,"","","","","","","","","","Louise Flore","female","","","","","@blakkbarby abn?? ya pas d BT à volonté?? tinkiet ma chérie c'est pour bientôt nn!!! Just be strong, le temp passe vite..","","[""blakkbarby""]","","440373283","","220902578832150530","","","","web",28,"ndechoux","","","","","","","","","Thu, 05 Jul 2012 15:30:53 +0000","","","","",1319,"","",70,"http://twitter.com/ndechoux","","","twitter",86,"1e1c6b6680f3a480e07423980719386e","","","","","","","","","",8.53,89,"","http://twitter.com/ndechoux/statuses/220902578832150530","","","","","","","","ndechoux",440373283,"","izmir","blakkbarby","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2221340203/Menemen-20120512-01715_normal.jpg","fr","Sun, 18 Dec 2011 22:34:58 +0000","",true,"","","@blakkbarby abn?? ya pas d BT à volonté?? tinkiet ma chérie c'est pour bientôt nn!!! Just be strong, le temp passe vite..","","",84,"fr","[""food"",""cars"",""babies"",""tea""]","220902036458307586","330479057","",-5,"","","","","","Louise Flore","","Thu, 05 Jul 2012 15:30:53 +0000","","","",""
"","","","","foursquare","","Eigenaar @FikiraBV, Lifehacker, Gadgetfreak, Petrolhead, Apple fan, Project manager, #0172, #durftevragen, Papa van O&A en getrouwd met @wbpepe","","","",9,17960768,"","","","","",20,"","","http://rklo.nl/linkedin","Renee Kloosterziel","female","","","","","Pinnen omdat de pinautomaten bij Olympia stuk zijn. Lijkt me toch van levens belang voor een restaurant. (@ ABN AMRO) http://t.co/vQO6jcZZ","","","","17960768","","220908811563712512","","","","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>",39,"ReneeKlo","","","","","","","","","Thu, 05 Jul 2012 15:55:39 +0000","","","","[""http://4sq.com/O9yK9E""]",9588,"[""4sq.com""]","",384,"http://twitter.com/ReneeKlo","","","twitter",324,"1e1c6b9ddc8caf80e0746df8aea50e18","","","","","","Amsterdam","","","",17.3,337,"","http://twitter.com/ReneeKlo/statuses/220908811563712512","","","","","","","","ReneeKlo",17960768,"","Alphen aan den Rijn","","","[""ABN AMRO""]","","","http://a0.twimg.com/profile_images/2299659225/cw5312upjw6i7nx1uohv_normal.jpeg","nl","Mon, 08 Dec 2008 11:18:36 +0000","","","","","Pinnen omdat de pinautomaten bij Olympia stuk zijn. Lijkt me toch van levens belang voor een restaurant. (@ ABN AMRO) http://t.co/vQO6jcZZ","","",100,"en","","","","","","","","",3600,"","Renee Kloosterziel","","Thu, 05 Jul 2012 15:55:39 +0000","","","",""
